experiment,split,iteration,bbox/AP50,bbox/AP75,bbox/AP,bbox/AP-ST,bbox/AP-OI
Augmentation,1,1899,0.7421169740321983,0.5340570022427151,0.45244738027644155,0.5545051193107154,0.3503896412421677
Augmentation,2,2099,0.8280231496021677,0.47571312753299483,0.46531971897137564,0.45518172381781324,0.4754577141249382
Augmentation,3,1999,0.8341031328272455,0.5949892304075491,0.5115263299210246,0.5497836262998779,0.4732690335421714
Augmentation,4,2999,0.8456901429329647,0.548040008781707,0.5062121941676077,0.5157297912830703,0.496694597052145
Augmentation,5,1499,0.8154987111509007,0.5872270967575961,0.49280280983460506,0.4985284960418925,0.48707712362731753
Augmentation,6,3299,0.8471969036151595,0.5614104649312444,0.5022382622505762,0.4668826274885972,0.5375938970125551
Augmentation,7,1199,0.9041431478689287,0.704049923656235,0.5807943732421442,0.5609892359850445,0.6005995104992438
Augmentation,8,1499,0.8068360330461453,0.5425999169244733,0.4775831639846623,0.49117522272988573,0.4639911052394389
Augmentation,9,3099,0.8104766076496895,0.5642705321997936,0.488106491975042,0.5670810219170765,0.40913196203300733
Augmentation,10,3099,0.893961586220221,0.694587906872496,0.5633382891635554,0.5965990084560719,0.5300775698710388
Default trainer,1,1499,0.7942361726593967,0.6032533664832256,0.5021547395874487,0.6176127586794615,0.38669672049543585
Default trainer,2,1399,0.7874622719623349,0.5691643826809798,0.4911822565708431,0.5204863034941231,0.4618782096475632
Default trainer,3,3599,0.8658188675689005,0.6849411917724018,0.5679212171137268,0.5952247546591893,0.5406176795682642
Default trainer,4,1899,0.8923034968927158,0.6901630476269709,0.568024034412626,0.5612639081959785,0.5747841606292738
Default trainer,5,3899,0.8846736799555919,0.7087954001659352,0.5669830615384955,0.5714619172616291,0.5625042058153622
Default trainer,6,2099,0.9008584850811452,0.6439214572541144,0.5547437963133806,0.535034440104145,0.5744531525226161
Default trainer,7,2799,0.9312378647136361,0.7869098268615035,0.6246878160436197,0.6240257644345687,0.6253498676526704
Default trainer,8,2199,0.802620388770324,0.5860985703220226,0.48540817336823866,0.5206561553112943,0.45016019142518277
Default trainer,9,3899,0.8372143925769925,0.6578326169872678,0.5344032980263916,0.6118262911544029,0.45698030489838026
Default trainer,10,3199,0.9369884871391256,0.7127060676165293,0.5900944040560185,0.5684281218944446,0.6117606862175924
No augmentation,1,2399,0.7261760926660089,0.589349764178905,0.47110964851875453,0.5831572233789097,0.3590620736585993
No augmentation,2,1499,0.7733118727530937,0.5461062975476444,0.46461860933313026,0.5080339153024602,0.4212033033638004
No augmentation,3,3499,0.8480897774672675,0.6605409243386152,0.5463953112593493,0.5775076764503492,0.5152829460683495
No augmentation,4,1699,0.8588785265624925,0.7049123505854186,0.5596706662352364,0.5600471353115561,0.5592941971589167
No augmentation,5,2699,0.8411321784953373,0.6677131407534722,0.5467785816528401,0.5713215148175252,0.522235648488155
No augmentation,6,3599,0.8906284590284449,0.5898510397675293,0.5385276265669975,0.5129060432015305,0.5641492099324643
No augmentation,7,2499,0.9285347699063972,0.7770141367779659,0.609400424021512,0.6113786548427139,0.60742219320031
No augmentation,8,3599,0.7851375670330606,0.5839200655881789,0.4901315703235946,0.5317304612393254,0.4485326794078638
No augmentation,9,1299,0.8346614389089886,0.6053405228444777,0.5146420333086636,0.6013404009123903,0.4279436657049369
No augmentation,10,2999,0.9299269030167554,0.7008276288931028,0.5789045846347496,0.5703240835315438,0.5874850857379554
